fold,test_start,test_end,total_return,annual_return,sharpe_ratio,max_drawdown,total_trades,excess_return
1,2021-12-28,2022-02-10,0.0,0,0,0,0,-0.02712264150943393
2,2022-01-11,2022-02-24,-0.22039996649999993,0,0,0,1,0.01432672160289386
3,2022-01-27,2022-03-14,0.0,0,0,0,0,0.01699029126213599
4,2022-02-10,2022-03-29,0.4653858787499999,0,0,0,1,-0.1628969495328283
5,2022-02-25,2022-04-13,0.0,0,0,0,0,0.39480519480519477
6,2022-03-14,2022-04-29,0.8027185730000003,0,0,0,1,-0.13873341763231828
7,2022-03-30,2022-05-17,0.0,0,0,0,0,-0.03950617283950621
8,2022-04-13,2022-05-31,-0.4713279424999999,0,0,0,1,0.05974550382768373
9,2022-05-02,2022-06-15,0.0,0,0,0,0,-0.700956937799043
10,2022-05-17,2022-06-29,0.0,0,0,0,0,0.41797432239657634
11,2022-06-01,2022-07-14,0.0,0,0,0,0,0.08037825059101653
12,2022-06-15,2022-07-28,0.0,0,0,0,0,-0.06469002695417786
13,2022-06-30,2022-08-16,0.0,0,0,0,0,-0.7791563275434246
14,2022-07-14,2022-08-30,0.1309736579999999,0,0,0,1,-0.06200879814035079
15,2022-07-29,2022-09-15,0.0,0,0,0,0,-0.07518796992481203
16,2022-08-16,2022-09-29,0.0,0,0,0,0,0.007462686567164285
17,2022-09-01,2022-10-17,0.0,0,0,0,0,0.5422705314009661
18,2022-09-15,2022-11-01,-0.12926642200000005,0,0,0,1,0.022392345772511923
19,2022-09-30,2022-11-17,0.0,0,0,0,0,0.49186991869918695
20,2022-10-17,2022-12-01,0.0,0,0,0,0,0.4730290456431535
21,2022-11-02,2022-12-16,0.0,0,0,0,0,-0.01574803149606303
22,2022-11-17,2022-12-30,0.022026175499999995,0,0,0,1,-0.013412961634052346
23,2022-12-02,2023-01-16,0.0,0,0,0,0,0.010554089709762496
24,2022-12-16,2023-01-31,0.0,0,0,0,0,0.49297752808988765
25,2023-01-02,2023-02-15,0.0,0,0,0,0,-0.5452127659574468
26,2023-01-16,2023-03-01,0.0,0,0,0,0,0.2041116005873714
27,2023-02-01,2023-03-17,0.0,0,0,0,0,-0.008403361344537735
28,2023-02-15,2023-04-03,0.8886983162499998,0,0,0,1,-0.13723828317363107
29,2023-03-02,2023-04-21,0.0,0,0,0,0,-1.3258785942492013
30,2023-03-17,2023-05-08,0.0,0,0,0,0,-0.24961948249619467
31,2023-04-05,2023-05-23,0.0,0,0,0,0,-1.10989010989011
32,2023-04-21,2023-06-06,0.10111578874999992,0,0,0,1,-0.009995322361111239
33,2023-05-09,2023-06-21,0.0,0,0,0,0,-0.06157635467980296
34,2023-05-23,2023-07-06,0.060832611000000016,0,0,0,1,-0.01885890570951159
35,2023-06-07,2023-07-21,0.0,0,0,0,0,-1.017114914425428
36,2023-06-21,2023-08-04,-0.26722890950000006,0,0,0,1,0.0575574152863248
37,2023-07-07,2023-08-22,0.0,0,0,0,0,-0.7002398081534772
38,2023-07-21,2023-09-05,0.0,0,0,0,0,-2.272058823529412
39,2023-08-07,2023-09-21,0.0,0,0,0,0,0.3514644351464435
40,2023-08-22,2023-10-06,0.0,0,0,0,0,0.431239388794567
41,2023-09-06,2023-10-23,0.0,0,0,0,0,-0.7240356083086052
42,2023-09-21,2023-11-07,0.0,0,0,0,0,0.04632587859424918
43,2023-10-09,2023-11-22,0.0,0,0,0,0,-1.1153262518968132
44,2023-10-23,2023-12-07,0.0,0,0,0,0,-0.10879999999999995
45,2023-11-08,2023-12-22,0.0,0,0,0,0,-0.08025682182985554
46,2023-11-22,2024-01-08,0.4809061355,0,0,0,1,-0.18027356271673506
47,2023-12-08,2024-01-23,0.0,0,0,0,0,-0.030837004405286472
48,2023-12-22,2024-02-07,0.034544931750000105,0,0,0,1,-0.02122883101512172
49,2024-01-09,2024-02-22,0.0,0,0,0,0,-0.7696969696969697
50,2024-01-23,2024-03-06,-0.29291455474999994,0,0,0,1,0.18616665935992627
51,2024-02-08,2024-03-22,0.0,0,0,0,0,0.524904214559387
52,2024-02-22,2024-04-09,-0.007018839499999956,0,0,0,1,0.0018176848004419948
53,2024-03-07,2024-04-26,0.0,0,0,0,0,0.3744207599629287
54,2024-03-22,2024-05-13,0.1687332445,0,0,0,1,-0.16296929953131106
55,2024-04-10,2024-05-28,0.0,0,0,0,0,-0.8032544378698228
56,2024-04-26,2024-06-11,0.0,0,0,0,0,-0.2841483979763914
57,2024-05-14,2024-06-27,0.0,0,0,0,0,-1.1541125541125543
58,2024-05-28,2024-07-11,0.9032231745000001,0,0,0,1,-0.48571691766589886
59,2024-06-12,2024-07-29,0.0,0,0,0,0,-0.06471921430370184
60,2024-06-27,2024-08-12,0.0,0,0,0,0,-0.678695868591339
61,2024-07-12,2024-08-28,0.0,0,0,0,0,0.4687833511205976
62,2024-07-29,2024-09-11,0.0,0,0,0,0,0.4761840141131768
63,2024-08-13,2024-09-26,0.0,0,0,0,0,0.013005371783997762
64,2024-08-28,2024-10-11,0.0,0,0,0,0,0.11802277145237425
65,2024-09-12,2024-10-28,0.0,0,0,0,0,0.576094811388929
66,2024-09-26,2024-11-11,0.01761717250000004,0,0,0,1,-0.01077977406488545
67,2024-10-14,2024-11-28,0.0,0,0,0,0,-1.0646939367566
68,2024-10-28,2024-12-12,-0.16481777249999993,0,0,0,1,0.13609965869266058
69,2024-11-12,2024-12-30,0.0,0,0,0,0,-0.005190567996440669
70,2024-11-28,2025-01-13,0.0,0,0,0,0,-0.01692399049881236
71,2024-12-13,2025-01-28,0.0,0,0,0,0,0.10144553433144037
72,2024-12-30,2025-02-10,0.0,0,0,0,0,0.06964091403699661
73,2025-01-14,2025-02-25,0.0,0,0,0,0,-0.6932011331444762
74,2025-01-28,2025-03-12,-0.1266339945499999,0,0,0,1,0.05563273016339432
75,2025-02-11,2025-03-28,0.0,0,0,0,0,0.582002457002457
76,2025-02-25,2025-04-16,0.0,0,0,0,0,0.02427821522309718
77,2025-03-13,2025-05-05,0.0,0,0,0,0,0.4817531305903399
78,2025-03-28,2025-05-19,0.00743871299999995,0,0,0,1,-0.007021217313588871
79,2025-04-17,2025-06-03,0.0,0,0,0,0,-0.08017334777898154
80,2025-05-05,2025-06-17,0.1000137380000001,0,0,0,1,-0.09235267421374033
