fold,test_start,test_end,total_return,annual_return,sharpe_ratio,max_drawdown,total_trades,excess_return
1,2021-12-28,2022-02-10,2.7306513962500016,16.545209096556118,3.357737931306792,-0.7284727625901066,29,2.7035287547405678
2,2022-01-11,2022-02-24,15.534559091250008,22.29225274523317,4.477558033393224,-0.5976618357918748,38,15.769285779352902
3,2022-01-27,2022-03-14,0.12396207000000076,9.791019229875422,2.1233200178509435,-0.5842455258805753,18,0.14095236126213675
4,2022-02-10,2022-03-29,6.332690897000021,25.239370203822666,4.010824542572938,-0.8501449076989279,27,5.704408068717193
5,2022-02-25,2022-04-13,-0.5909949069999996,4.746369676147474,1.1150907254429812,-0.6207744272121971,13,-0.1961897121948048
6,2022-03-14,2022-04-29,-0.6871205872499995,10.588022992515985,1.8301211324503688,-0.8307065804243045,14,-1.6285725778823181
7,2022-03-30,2022-05-17,-0.4967812454999997,6.599986060214031,1.4645799834645639,-0.6803896952499997,10,-0.5362874183395059
8,2022-04-13,2022-05-31,-0.13608131174999968,11.745879835344338,2.236623727713832,-0.6736654071958408,20,0.3949921345776839
9,2022-05-02,2022-06-15,0.6710238465000006,12.121306371854375,2.5300547076933317,-0.631926090786408,12,-0.029933091299042425
10,2022-05-17,2022-06-29,-0.2081943914999998,11.351464679694713,2.1331711527575083,-0.8227876736554774,23,0.20977993089657654
11,2022-06-01,2022-07-14,-0.4573689039999976,10.787979984163256,1.9788688107176153,-0.8083402605899063,25,-0.3769906534089811
12,2022-06-15,2022-07-28,-0.5801335327499992,7.69486564289454,1.5362247564962928,-0.8485490724544333,22,-0.6448235597041772
13,2022-06-30,2022-08-16,-0.23659535924999886,13.965942364171378,2.419855274532961,-0.8203371753250296,24,-1.0157516867934233
14,2022-07-14,2022-08-30,5.292042606000001,17.777181518124994,3.6164251871243454,-0.4749749006634389,15,5.09906014985965
15,2022-07-29,2022-09-15,-0.602007650249999,4.764665065468291,1.0921570581095696,-0.7539451649299637,19,-0.677195620174811
16,2022-08-16,2022-09-29,-0.34426391774999954,11.587223189686462,2.1185644459823996,-0.7384739983459461,10,-0.3368012311828352
17,2022-09-01,2022-10-17,-0.4513637219999998,5.4073861436998145,1.3323394556385189,-0.6236833254188104,16,0.09090680940096635
18,2022-09-15,2022-11-01,-0.12714066774999977,6.185798414773815,1.6356659478303497,-0.6339561582499997,15,0.0245181000225122
19,2022-09-30,2022-11-17,5.289383281499998,19.930695950357872,3.7091841114854534,-0.4268088459025805,21,5.781253200199186
20,2022-10-17,2022-12-01,22.90568506125002,29.216640759566047,4.7400689727999845,-0.7800033289665591,47,23.37871410689317
21,2022-11-02,2022-12-16,-0.5520270097499995,9.597585055816735,1.8040356832037503,-0.9022202776458829,28,-0.5677750412460626
22,2022-11-17,2022-12-30,2.105316489750003,18.20106490829715,3.2862030979441283,-0.6790207973407736,27,2.0698773526159506
23,2022-12-02,2023-01-16,0.39510892200002273,13.258699375443001,2.534484527297021,-0.9522913412529894,49,0.40566301170978525
24,2022-12-16,2023-01-31,-0.663416317499999,3.353254507438104,0.8229638596287343,-0.8702302061868608,46,-0.1704387894101113
25,2023-01-02,2023-02-15,-0.6597724534999986,3.6934178667958575,0.8870932540489813,-0.9249616821677775,39,-1.2049852194574453
26,2023-01-16,2023-03-01,3.2492776530000014,18.230658543357677,3.502078535861437,-0.8305576429155188,50,3.453389253587373
27,2023-02-01,2023-03-17,11.125587648750008,23.92036449856709,4.343746643991029,-0.7458431383187638,49,11.11718428740547
28,2023-02-15,2023-04-03,36.55796419800003,33.44920514801953,5.1902421668467795,-0.7180327234125904,46,35.5320275985764
29,2023-03-02,2023-04-21,17.67473770200001,28.95668419093249,4.6386748923008865,-0.6868007541973776,41,16.34885910775081
30,2023-03-17,2023-05-08,87.38944949925003,40.25907208860677,5.609961605663828,-0.7207041847907321,44,87.13983001675383
31,2023-04-05,2023-05-23,640.0709070112503,47.37276773583094,6.704555300100785,-0.7195547191055144,44,638.9610169013602
32,2023-04-21,2023-06-06,361.7149333440004,43.93902503421913,6.313372666908092,-0.7159259102759251,49,361.60382223288934
33,2023-05-09,2023-06-21,24.229026309000034,29.71124240763146,4.659284760909824,-0.912024384740849,51,24.16744995432023
34,2023-05-23,2023-07-06,168.28130923725018,40.73062336646924,5.943056130812771,-0.9056862207579799,58,168.20161772054067
35,2023-06-07,2023-07-21,2.4733755532500017,22.444221716374766,3.5370097205860263,-0.4774860264082601,9,1.4562606388245738
36,2023-06-21,2023-08-04,3.9956961697501883,30.953394659936755,4.079409040743584,-0.9839362815105842,58,4.320482494536513
37,2023-07-07,2023-08-22,0.383845488750008,16.765268181464748,2.798038892387695,-0.9675751802086281,53,-0.3163943194034692
38,2023-07-21,2023-09-05,0.2849056560000005,14.900788841632327,2.694661897477543,-0.8283880395756239,20,-1.9871531675294116
39,2023-08-07,2023-09-21,-0.6320804179999957,6.521420036835266,1.343018729593799,-0.9295632272361158,43,-0.2806159828535522
40,2023-08-22,2023-10-06,0.6502711760000023,11.636990098394095,2.4573949719084975,-0.6298926725511018,43,1.0815105647945693
41,2023-09-06,2023-10-23,-0.10485256374999721,8.8084396819778,1.9517972141929092,-0.7867312461178166,45,-0.8288881720586024
42,2023-09-21,2023-11-07,0.25180211925000434,14.566780513045817,2.5602669196754464,-0.898040394092952,47,0.29812799784425353
43,2023-10-09,2023-11-22,-0.030442486499997586,13.03398025414517,2.335941519475261,-0.7764250012624939,44,-1.1457687383968107
